step,agent_id,tree_name,bfm_situation,distance_ft,ata_deg,aa_deg,hca_deg,relative_bearing_deg,ego_altitude_ft,ego_vc_kts,specific_energy_ft,ps_fts,energy_diff_ft,closure_rate_kts,turn_rate_degs,in_wez,enm_in_wez,in_39_line,overshoot_risk,energy_advantage,alt_advantage,spd_advantage,tc_type,side_flag,alt_gap_ft,tau_deg,roll_deg,pitch_deg,ego_health,enm_health,ego_damage_dealt,enm_damage_dealt,action_alt,action_hdg,action_vel,aileron,elevator,rudder,throttle,active_node,reward
0,A0100,adaptive_eagle_v11,HABFM,3297.631970,90.000000,90.000000,180.000000,-90.000000,15000.000480,386.782661,21622.867763,0.000000,0.000000,-0.000000,0.000000,False,False,False,False,True,True,True,2-circle,-1.000000,0.000000,90.000000,-0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.238353
0,B0100,ace,HABFM,3297.631970,90.000000,90.000000,180.000000,-90.000000,15000.000480,386.782661,21622.867763,0.000000,0.000000,-0.000000,0.000000,False,False,False,False,True,True,True,2-circle,-1.000000,0.000000,90.000000,-0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,4,1,1,0.0000,0.0000,0.0000,0.5000,"HighYoYo",-0.238345
1,A0100,adaptive_eagle_v11,HABFM,3313.135498,95.507990,84.491831,179.200260,-95.508124,15000.270996,387.161448,21636.116558,66.243976,-0.002619,-91.077300,0.214764,False,False,False,False,False,True,False,2-circle,-1.000000,0.000009,84.670365,-5.329635,0.884066,100.000000,100.000000,0.000000,0.000000,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.191874
1,B0100,ace,HABFM,3313.135498,95.507990,84.491831,179.200260,-95.508124,15000.270996,387.161448,21636.116558,66.243976,-0.002619,-91.077300,0.214764,False,False,False,False,False,True,False,2-circle,-1.000000,0.000009,84.670365,-5.329635,0.884066,100.000000,100.000000,0.000000,0.000000,4,1,1,0.0000,0.0000,0.0000,0.5000,"HighYoYo",-0.191933
2,A0100,adaptive_eagle_v11,HABFM,3357.906250,100.418875,79.582548,175.632627,-100.426486,15003.603931,386.233811,21607.688655,-142.139517,0.770275,-171.196375,0.896896,False,False,False,False,True,True,True,2-circle,-1.000000,0.015756,68.758117,-21.242157,6.488083,100.000000,100.000000,0.000000,0.000000,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.136130
2,B0100,ace,HABFM,3357.906250,100.418875,79.582548,175.632627,-100.426486,15003.603931,386.233811,21607.688655,-142.139517,0.770275,-171.196375,0.896896,False,False,False,False,True,True,True,2-circle,-1.000000,0.015756,68.758117,-21.242157,6.488083,100.000000,100.000000,0.000000,0.000000,4,1,1,0.0000,0.0000,0.0000,0.5000,"HighYoYo",-0.135785
3,A0100,adaptive_eagle_v11,HABFM,3426.416457,104.186750,75.805006,171.427617,-104.227348,15012.670483,384.845529,21569.364986,-191.618342,0.965788,-231.325045,2.094216,False,False,False,False,True,True,True,2-circle,-1.000000,0.035619,47.866362,-42.134259,11.124809,100.000000,100.000000,0.000000,0.000000,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.092543
3,B0100,ace,HABFM,3426.416457,104.186750,75.805006,171.427617,-104.227348,15012.670483,384.845529,21569.364986,-191.618342,0.965788,-231.325045,2.094216,False,False,False,False,True,True,True,2-circle,-1.000000,0.035619,47.866362,-42.134259,11.124809,100.000000,100.000000,0.000000,0.000000,4,1,1,0.0000,0.0000,0.0000,0.5000,"HighYoYo",-0.090982
4,A0100,adaptive_eagle_v11,HABFM,3511.975818,106.862322,73.081586,168.354620,-106.953168,15026.885379,383.122993,21525.016828,-221.740790,8.860638,-272.982705,4.866972,False,False,False,False,True,False,True,2-circle,-1.000000,-0.030663,25.527805,-64.471658,13.379014,100.000000,100.000000,0.000000,0.000000,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.067116
4,B0100,ace,HABFM,3511.975818,106.862322,73.081586,168.354620,-106.953168,15026.885379,383.122993,21525.016828,-221.740790,8.860638,-272.982705,4.866972,False,False,False,False,True,False,True,2-circle,-1.000000,-0.030663,25.527805,-64.471658,13.379014,100.000000,100.000000,0.000000,0.000000,4,1,1,0.0000,0.0000,0.0000,0.5000,"HighYoYo",-0.075053
5,A0100,adaptive_eagle_v11,HABFM,3609.738812,109.167646,71.021112,167.095823,-109.297716,15044.090593,381.927523,21501.732667,-116.420808,38.873154,-305.951751,11.244467,False,False,False,False,True,False,True,2-circle,-1.000000,-0.211342,11.706709,-78.289555,14.173659,100.000000,100.000000,0.000000,0.000000,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.066966
5,B0100,ace,HABFM,3609.738812,109.167646,71.021112,167.095823,-109.297716,15044.090593,381.927523,21501.732667,-116.420808,38.873154,-305.951751,11.244467,False,False,False,False,True,False,True,2-circle,-1.000000,-0.211342,11.706709,-78.289555,14.173659,100.000000,100.000000,0.000000,0.000000,4,1,1,0.0000,0.0000,0.0000,0.5000,"HighYoYo",-0.077068
6,A0100,adaptive_eagle_v11,HABFM,3718.780845,111.629793,68.886239,167.025206,-111.797336,15062.540034,381.539293,21507.060374,26.638536,59.135819,-340.762767,9.013667,False,False,False,False,True,False,True,2-circle,-1.000000,-1.430859,14.482246,-75.492116,14.293569,100.000000,100.000000,0.000000,0.000000,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.076554
6,B0100,ace,HABFM,3718.780845,111.629793,68.886239,167.025206,-111.797336,15062.540034,381.539293,21507.060374,26.638536,59.135819,-340.762767,9.013667,False,False,False,False,True,False,True,2-circle,-1.000000,-1.430859,14.482246,-75.492116,14.293569,100.000000,100.000000,0.000000,0.000000,4,1,1,0.0000,0.0000,0.0000,0.5000,"HighYoYo",-0.062230
7,A0100,adaptive_eagle_v11,HABFM,3839.642667,113.684201,66.341862,166.942365,-113.907744,15082.128808,380.672307,21497.394179,-48.330972,7.844965,-375.173703,5.841411,False,False,False,False,True,False,True,2-circle,-1.000000,-4.973916,21.713039,-68.196260,14.597790,100.000000,100.000000,0.000000,0.000000,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.088531
7,B0100,ace,HABFM,3839.642667,113.684201,66.341862,166.942365,-113.907744,15082.128808,380.672307,21497.394179,-48.330972,7.844965,-375.173703,5.841411,False,False,False,False,True,False,True,2-circle,-1.000000,-4.973916,21.713039,-68.196260,14.597790,100.000000,100.000000,0.000000,0.000000,4,1,1,0.0000,0.0000,0.0000,0.5000,"HighYoYo",-0.049855
8,A0100,adaptive_eagle_v11,HABFM,3972.279347,115.363578,63.254744,166.261465,-115.678615,15103.624569,379.269683,21471.701697,-128.462412,-130.542402,-410.521461,4.112571,False,False,False,False,False,False,False,2-circle,-1.000000,-11.367061,29.473585,-60.314696,15.460400,100.000000,100.000000,0.000000,0.000000,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.081971
8,B0100,ace,HABFM,3972.279347,115.363578,63.254744,166.261465,-115.678615,15103.624569,379.269683,21471.701697,-128.462412,-130.542402,-410.521461,4.112571,False,False,False,False,False,False,False,2-circle,-1.000000,-11.367061,29.473585,-60.314696,15.460400,100.000000,100.000000,0.000000,0.000000,4,1,1,0.0000,0.0000,0.0000,0.5000,"HighYoYo",-0.034193
9,A0100,adaptive_eagle_v11,HABFM,4116.110791,116.508852,60.243581,164.819075,-116.971500,15127.952839,377.114362,21423.858372,-239.216623,-303.049305,-440.321025,3.895601,False,False,False,False,False,False,False,2-circle,-1.000000,-20.963326,30.768367,-58.831437,16.526457,100.000000,100.000000,0.000000,0.000000,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.086552
9,B0100,ace,HABFM,4116.110791,116.508852,60.243581,164.819075,-116.971500,15127.952839,377.114362,21423.858372,-239.216623,-303.049305,-440.321025,3.895601,False,False,False,False,False,False,False,2-circle,-1.000000,-20.963326,30.768367,-58.831437,16.526457,100.000000,100.000000,0.000000,0.000000,4,1,1,0.0000,0.0000,0.0000,0.5000,"HighYoYo",-0.007332
10,A0100,adaptive_eagle_v11,HABFM,4269.104113,116.681461,56.896383,162.800269,-117.323744,15155.889499,373.906943,21345.155075,-393.516489,-559.126320,-464.665303,6.467643,False,False,False,False,False,False,False,2-circle,-1.000000,-34.329674,19.487133,-69.838639,17.297196,100.000000,100.000000,0.000000,0.000000,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.088719
10,B0100,ace,HABFM,4269.104113,116.681461,56.896383,162.800269,-117.323744,15155.889499,373.906943,21345.155075,-393.516489,-559.126320,-464.665303,6.467643,False,False,False,False,False,False,False,2-circle,-1.000000,-34.329674,19.487133,-69.838639,17.297196,100.000000,100.000000,0.000000,0.000000,4,1,1,0.0000,0.0000,0.0000,0.5000,"HighYoYo",-0.003061
11,A0100,adaptive_eagle_v11,HABFM,4430.150597,116.685680,53.283747,161.131066,-117.460988,15186.537286,371.203811,21286.636681,-292.591966,-808.129478,-489.380846,10.995107,False,False,False,False,False,False,False,2-circle,-1.000000,-51.144594,11.226891,-77.735711,17.773119,100.000000,100.000000,0.000000,0.000000,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.083912
11,B0100,ace,HABFM,4430.150597,116.685680,53.283747,161.131066,-117.460988,15186.537286,371.203811,21286.636681,-292.591966,-808.129478,-489.380846,10.995107,False,False,False,False,False,False,False,2-circle,-1.000000,-51.144594,11.226891,-77.735711,17.773119,100.000000,100.000000,0.000000,0.000000,4,1,1,0.0000,0.0000,0.0000,0.5000,"HighYoYo",-0.017898
12,A0100,adaptive_eagle_v11,HABFM,4600.348156,117.204779,49.699915,159.970438,-118.116777,15218.572023,369.716006,21269.870341,-83.831702,-1013.196977,-517.504031,7.409127,False,False,False,False,False,False,False,2-circle,-1.000000,-71.353146,16.436235,-72.063882,18.166278,100.000000,100.000000,0.000000,0.000000,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.072772
12,B0100,ace,HABFM,4600.348156,117.204779,49.699915,159.970438,-118.116777,15218.572023,369.716006,21269.870341,-83.831702,-1013.196977,-517.504031,7.409127,False,False,False,False,False,False,False,2-circle,-1.000000,-71.353146,16.436235,-72.063882,18.166278,100.000000,100.000000,0.000000,0.000000,4,1,1,0.0000,0.0000,0.0000,0.5000,"HighYoYo",-0.018463
13,A0100,adaptive_eagle_v11,HABFM,4779.906594,117.714214,46.471768,158.951190,-118.808397,15251.984654,368.431179,21261.297455,-42.864427,-1212.394986,-542.518336,5.012002,False,False,False,False,False,False,False,2-circle,-1.000000,-96.356521,23.529004,-64.365197,18.921119,100.000000,100.000000,0.000000,0.000000,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.059422
13,B0100,ace,HABFM,4779.906594,117.714214,46.471768,158.951190,-118.808397,15251.984654,368.431179,21261.297455,-42.864427,-1212.394986,-542.518336,5.012002,False,False,False,False,False,False,False,2-circle,-1.000000,-96.356521,23.529004,-64.365197,18.921119,100.000000,100.000000,0.000000,0.000000,4,1,1,0.0000,0.0000,0.0000,0.5000,"HighYoYo",-0.004478
14,A0100,adaptive_eagle_v11,HABFM,4966.926447,117.655426,43.767361,157.455582,-119.007450,15287.509973,366.436885,21231.942796,-146.773298,-1444.376326,-559.162852,4.734328,False,False,False,False,False,False,False,2-circle,-1.000000,-127.753023,24.126331,-62.960461,19.866199,100.000000,100.000000,0.000000,0.000000,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.057463
14,B0100,ace,HABFM,4966.926447,117.655426,43.767361,157.455582,-119.007450,15287.509973,366.436885,21231.942796,-146.773298,-1444.376326,-559.162852,4.734328,False,False,False,False,False,False,False,2-circle,-1.000000,-127.753023,24.126331,-62.960461,19.866199,100.000000,100.000000,0.000000,0.000000,4,1,1,0.0000,0.0000,0.0000,0.5000,"HighYoYo",0.020094
15,A0100,adaptive_eagle_v11,HABFM,5158.482584,116.655199,41.019697,154.419408,-118.274704,15325.830249,363.410849,21172.490191,-297.263023,-1729.332470,-568.315205,8.310891,False,False,False,False,False,False,False,2-circle,-1.000000,-165.074323,12.380566,-73.674639,20.512793,100.000000,100.000000,0.000000,0.000000,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.070608
