step,agent_id,tree_name,bfm_situation,distance_ft,ata_deg,aa_deg,hca_deg,relative_bearing_deg,ego_altitude_ft,ego_vc_kts,specific_energy_ft,ps_fts,energy_diff_ft,closure_rate_kts,turn_rate_degs,in_wez,enm_in_wez,in_39_line,overshoot_risk,energy_advantage,alt_advantage,spd_advantage,tc_type,side_flag,alt_gap_ft,ego_health,enm_health,ego_damage_dealt,enm_damage_dealt,tau_deg,roll_deg,pitch_deg,action_alt,action_hdg,action_vel,aileron,elevator,rudder,throttle,active_node,reward
0,A0100,adaptive_eagle_v9,HABFM,3297.631970,90.000000,90.000000,180.000000,-90.000000,15000.000480,386.782661,21622.867763,0.000000,0.000000,-0.000000,0.000000,False,False,False,False,True,True,True,2-circle,-1.000000,0.000000,100.000000,100.000000,0.000000,0.000000,90.000000,-0.000000,0.000000,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.238032
0,B0100,L7_mid_low_slow_max,HABFM,3297.631970,90.000000,90.000000,180.000000,-90.000000,15000.000480,386.782661,21622.867763,0.000000,0.000000,-0.000000,0.000000,False,False,False,False,True,True,True,2-circle,-1.000000,0.000000,100.000000,100.000000,0.000000,0.000000,90.000000,-0.000000,0.000000,0,4,2,0.0000,0.0000,0.0000,0.5000,"DescendTo",-0.239399
1,A0100,adaptive_eagle_v9,HABFM,3313.086299,95.533674,84.499758,179.821375,-95.533749,14999.805928,385.011490,21562.156662,-303.555505,-104.751987,-90.981480,0.039658,False,False,False,False,False,True,False,2-circle,-1.000000,0.465074,100.000000,100.000000,0.000000,0.000000,89.026398,-0.981682,-1.296547,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.191345
1,B0100,L7_mid_low_slow_max,HABFM,3313.086299,95.533674,84.499758,179.821375,-95.533749,14999.805928,385.011490,21562.156662,-303.555505,-104.751987,-90.981480,0.039658,False,False,False,False,False,True,False,2-circle,-1.000000,0.465074,100.000000,100.000000,0.000000,0.000000,89.026398,-0.981682,-1.296547,0,4,2,0.0000,0.0000,0.0000,0.5000,"DescendTo",-0.211394
2,A0100,adaptive_eagle_v9,HABFM,3358.259376,100.968456,79.612407,178.671387,-100.971743,14998.239650,383.292544,21502.123842,-300.164101,-138.687137,-174.755584,0.112677,False,False,False,False,False,True,False,2-circle,-1.000000,5.380066,100.000000,100.000000,0.000000,0.000000,87.318118,-2.775378,-4.535132,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.135763
2,B0100,L7_mid_low_slow_max,HABFM,3358.259376,100.968456,79.612407,178.671387,-100.971743,14998.239650,383.292544,21502.123842,-300.164101,-138.687137,-174.755584,0.112677,False,False,False,False,False,True,False,2-circle,-1.000000,5.380066,100.000000,100.000000,0.000000,0.000000,87.318118,-2.775378,-4.535132,0,4,2,0.0000,0.0000,0.0000,0.5000,"DescendTo",-0.185665
3,A0100,adaptive_eagle_v9,HABFM,3429.649669,106.220935,75.888118,177.051068,-106.245695,14993.944481,381.459497,21435.769457,-331.771924,-149.853797,-245.686375,0.191998,False,False,False,False,False,True,False,2-circle,-1.000000,18.761885,100.000000,100.000000,0.000000,0.000000,85.625954,-4.700418,-7.425694,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.091880
3,B0100,L7_mid_low_slow_max,HABFM,3429.649669,106.220935,75.888118,177.051068,-106.245695,14993.944481,381.459497,21435.769457,-331.771924,-149.853797,-245.686375,0.191998,False,False,False,False,False,True,False,2-circle,-1.000000,18.761885,100.000000,100.000000,0.000000,0.000000,85.625954,-4.700418,-7.425694,0,4,2,0.0000,0.0000,0.0000,0.5000,"DescendTo",-0.163027
4,A0100,adaptive_eagle_v9,HABFM,3522.886361,111.227118,73.278868,175.110593,-111.322092,14985.912015,379.269220,21353.973603,-408.979271,-147.587188,-303.536570,0.270848,False,False,False,False,False,True,False,2-circle,-1.000000,40.943617,100.000000,100.000000,0.000000,0.000000,84.134461,-6.579524,-10.064672,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.081457
4,B0100,L7_mid_low_slow_max,HABFM,3522.886361,111.227118,73.278868,175.110593,-111.322092,14985.912015,379.269220,21353.973603,-408.979271,-147.587188,-303.536570,0.270848,False,False,False,False,False,True,False,2-circle,-1.000000,40.943617,100.000000,100.000000,0.000000,0.000000,84.134461,-6.579524,-10.064672,0,4,2,0.0000,0.0000,0.0000,0.5000,"DescendTo",-0.142905
5,A0100,adaptive_eagle_v9,HABFM,3634.540568,115.918920,70.892345,173.175186,-116.172662,14973.366740,376.814096,21259.250409,-473.615968,-199.615308,-355.446727,0.351821,False,False,False,False,False,True,False,2-circle,-1.000000,70.452428,100.000000,100.000000,0.000000,0.000000,82.766164,-8.467646,-12.520540,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.107525
5,B0100,L7_mid_low_slow_max,HABFM,3634.540568,115.918920,70.892345,173.175186,-116.172662,14973.366740,376.814096,21259.250409,-473.615968,-199.615308,-355.446727,0.351821,False,False,False,False,False,True,False,2-circle,-1.000000,70.452428,100.000000,100.000000,0.000000,0.000000,82.766164,-8.467646,-12.520540,0,4,2,0.0000,0.0000,0.0000,0.5000,"DescendTo",-0.125051
6,A0100,adaptive_eagle_v9,HABFM,3764.591675,120.241339,67.538972,172.032463,-120.782023,14955.871857,374.280191,21157.500309,-508.750501,-331.565084,-410.679076,0.431501,False,False,False,False,False,True,False,2-circle,-1.000000,105.691954,100.000000,100.000000,0.000000,0.000000,81.580649,-10.280255,-14.850279,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.127541
6,B0100,L7_mid_low_slow_max,HABFM,3764.591675,120.241339,67.538972,172.032463,-120.782023,14955.871857,374.280191,21157.500309,-508.750501,-331.565084,-410.679076,0.431501,False,False,False,False,False,True,False,2-circle,-1.000000,105.691954,100.000000,100.000000,0.000000,0.000000,81.580649,-10.280255,-14.850279,0,4,2,0.0000,0.0000,0.0000,0.5000,"DescendTo",-0.109176
7,A0100,adaptive_eagle_v9,HABFM,3914.460151,124.121442,63.249811,171.335741,-125.163228,14932.925373,372.349809,21070.747918,-433.761955,-512.973038,-468.941707,0.372902,False,False,False,False,False,True,False,2-circle,-1.000000,146.164957,100.000000,100.000000,0.000000,0.000000,83.724827,-8.862313,-17.071886,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.116878
7,B0100,L7_mid_low_slow_max,HABFM,3914.460151,124.121442,63.249811,171.335741,-125.163228,14932.925373,372.349809,21070.747918,-433.761955,-512.973038,-468.941707,0.372902,False,False,False,False,False,True,False,2-circle,-1.000000,146.164957,100.000000,100.000000,0.000000,0.000000,83.724827,-8.862313,-17.071886,0,4,2,0.0000,0.0000,0.0000,0.5000,"DescendTo",-0.090743
