step,agent_id,tree_name,bfm_situation,distance_ft,ata_deg,aa_deg,hca_deg,relative_bearing_deg,ego_altitude_ft,ego_vc_kts,specific_energy_ft,ps_fts,energy_diff_ft,closure_rate_kts,turn_rate_degs,in_wez,enm_in_wez,in_39_line,overshoot_risk,energy_advantage,alt_advantage,spd_advantage,tc_type,side_flag,alt_gap_ft,ego_health,enm_health,ego_damage_dealt,enm_damage_dealt,tau_deg,roll_deg,pitch_deg,action_alt,action_hdg,action_vel,aileron,elevator,rudder,throttle,active_node,reward
0,A0100,adaptive_eagle_v9,HABFM,3297.631970,90.000000,90.000000,180.000000,-90.000000,15000.000480,386.782661,21622.867763,0.000000,0.000000,-0.000000,0.000000,False,False,False,False,True,True,True,2-circle,-1.000000,0.000000,100.000000,100.000000,0.000000,0.000000,90.000000,-0.000000,0.000000,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.238483
0,B0100,L7_mid_level_balanced,HABFM,3297.631970,90.000000,90.000000,180.000000,-90.000000,15000.000480,386.782661,21622.867763,0.000000,0.000000,-0.000000,0.000000,False,False,False,False,True,True,True,2-circle,-1.000000,0.000000,100.000000,100.000000,0.000000,0.000000,90.000000,-0.000000,0.000000,2,7,1,0.0000,0.0000,0.0000,0.5000,"LagPursuit",-0.240592
1,A0100,adaptive_eagle_v9,HABFM,3313.153508,95.562767,84.488798,179.893236,-95.562908,14999.608114,388.505069,21681.592212,293.622244,66.397905,-91.705209,0.215467,False,False,False,False,True,True,True,2-circle,-1.000000,0.662893,100.000000,100.000000,0.000000,0.000000,95.375990,5.364472,0.904827,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.192620
1,B0100,L7_mid_level_balanced,HABFM,3313.153508,95.562767,84.488798,179.893236,-95.562908,14999.608114,388.505069,21681.592212,293.622244,66.397905,-91.705209,0.215467,False,False,False,False,True,True,True,2-circle,-1.000000,0.662893,100.000000,100.000000,0.000000,0.000000,95.375990,5.364472,0.904827,2,7,1,0.0000,0.0000,0.0000,0.5000,"LagPursuit",-0.218213
2,A0100,adaptive_eagle_v9,HABFM,3358.978943,101.188766,79.565515,177.805045,-101.188988,14998.712463,390.805246,21760.053270,392.305294,228.925543,-178.610598,0.882945,False,False,False,False,True,True,True,2-circle,-1.000000,4.907310,100.000000,100.000000,0.000000,0.000000,111.239591,21.154315,6.517469,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.136841
2,B0100,L7_mid_level_balanced,HABFM,3358.978943,101.188766,79.565515,177.805045,-101.188988,14998.712463,390.805246,21760.053270,392.305294,228.925543,-178.610598,0.882945,False,False,False,False,True,True,True,2-circle,-1.000000,4.907310,100.000000,100.000000,0.000000,0.000000,111.239591,21.154315,6.517469,2,7,1,0.0000,0.0000,0.0000,0.5000,"LagPursuit",-0.207423
3,A0100,adaptive_eagle_v9,HABFM,3432.686147,107.146152,75.792924,174.146181,-107.144819,14999.631949,389.136842,21703.365706,-283.437824,220.603821,-256.333529,1.885123,False,False,False,False,True,True,True,2-circle,-1.000000,13.074666,100.000000,100.000000,0.000000,0.000000,129.675710,39.448369,10.586146,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.091647
3,B0100,L7_mid_level_balanced,HABFM,3432.686147,107.146152,75.792924,174.146181,-107.144819,14999.631949,389.136842,21703.365706,-283.437824,220.603821,-256.333529,1.885123,False,False,False,False,True,True,True,2-circle,-1.000000,13.074666,100.000000,100.000000,0.000000,0.000000,129.675710,39.448369,10.586146,2,7,1,0.0000,0.0000,0.0000,0.5000,"LagPursuit",-0.193364
4,A0100,adaptive_eagle_v9,HABFM,3530.981799,113.331813,73.141902,170.186130,-113.330827,15003.208273,386.965029,21632.322403,-355.216514,213.504346,-324.024495,3.693135,False,False,False,False,True,True,True,2-circle,-1.000000,23.648041,100.000000,100.000000,0.000000,0.000000,148.462723,58.050976,12.198595,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.079653
4,B0100,L7_mid_level_balanced,HABFM,3530.981799,113.331813,73.141902,170.186130,-113.330827,15003.208273,386.965029,21632.322403,-355.216514,213.504346,-324.024495,3.693135,False,False,False,False,True,True,True,2-circle,-1.000000,23.648041,100.000000,100.000000,0.000000,0.000000,148.462723,58.050976,12.198595,2,7,1,0.0000,0.0000,0.0000,0.5000,"LagPursuit",-0.182176
5,A0100,adaptive_eagle_v9,HABFM,3651.244541,119.812172,70.735958,166.422258,-119.816306,15008.927367,384.174636,21542.781519,-447.704421,129.703797,-388.803690,6.657706,False,False,False,False,True,True,True,2-circle,-1.000000,34.893262,100.000000,100.000000,0.000000,0.000000,161.405413,70.796609,12.671384,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.103896
5,B0100,L7_mid_level_balanced,HABFM,3651.244541,119.812172,70.735958,166.422258,-119.816306,15008.927367,384.174636,21542.781519,-447.704421,129.703797,-388.803690,6.657706,False,False,False,False,True,True,True,2-circle,-1.000000,34.893262,100.000000,100.000000,0.000000,0.000000,161.405413,70.796609,12.671384,2,7,1,0.0000,0.0000,0.0000,0.5000,"LagPursuit",-0.165068
6,A0100,adaptive_eagle_v9,HABFM,3794.104588,126.319216,67.409210,163.559076,-126.334794,15016.434702,380.961172,21441.439945,-506.707867,-55.630701,-457.215219,10.248200,False,False,False,False,False,True,False,2-circle,-1.000000,45.131804,100.000000,100.000000,0.000000,0.000000,167.941175,77.152422,12.154438,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.122687
6,B0100,L7_mid_level_balanced,HABFM,3794.104588,126.319216,67.409210,163.559076,-126.334794,15016.434702,380.961172,21441.439945,-506.707867,-55.630701,-457.215219,10.248200,False,False,False,False,False,True,False,2-circle,-1.000000,45.131804,100.000000,100.000000,0.000000,0.000000,167.941175,77.152422,12.154438,2,7,1,0.0000,0.0000,0.0000,0.5000,"LagPursuit",-0.141628
7,A0100,adaptive_eagle_v9,HABFM,3960.274974,132.455168,63.200485,161.976834,-132.483565,15024.980249,377.904692,21347.302473,-470.687358,-315.997126,-526.184157,17.881012,False,False,False,False,False,True,False,2-circle,-1.000000,54.114473,100.000000,100.000000,0.000000,0.000000,173.442876,82.497045,10.910043,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.111376
7,B0100,L7_mid_level_balanced,HABFM,3960.274974,132.455168,63.200485,161.976834,-132.483565,15024.980249,377.904692,21347.302473,-470.687358,-315.997126,-526.184157,17.881012,False,False,False,False,False,True,False,2-circle,-1.000000,54.114473,100.000000,100.000000,0.000000,0.000000,173.442876,82.497045,10.910043,2,7,1,0.0000,0.0000,0.0000,0.5000,"LagPursuit",-0.123216
8,A0100,adaptive_eagle_v9,HABFM,4148.689803,138.263689,59.097412,160.754457,-138.301354,15033.839433,374.898506,21255.975137,-456.636684,-582.240722,-587.882772,53.539314,False,False,False,False,False,True,False,2-circle,-1.000000,61.632397,100.000000,100.000000,0.000000,0.000000,178.537408,87.462454,9.389154,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.096317
8,B0100,L7_mid_level_balanced,HABFM,4148.689803,138.263689,59.097412,160.754457,-138.301354,15033.839433,374.898506,21255.975137,-456.636684,-582.240722,-587.882772,53.539314,False,False,False,False,False,True,False,2-circle,-1.000000,61.632397,100.000000,100.000000,0.000000,0.000000,178.537408,87.462454,9.389154,2,7,1,0.0000,0.0000,0.0000,0.5000,"LagPursuit",-0.107577
9,A0100,adaptive_eagle_v9,HABFM,4356.482386,143.733761,55.302043,159.664447,-143.772938,15042.353205,371.974629,21167.813056,-440.810404,-850.567741,-641.150961,136.936520,False,False,False,False,False,True,False,2-circle,-1.000000,67.527872,100.000000,100.000000,0.000000,0.000000,-176.666498,92.160893,8.038985,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.080534
9,B0100,L7_mid_level_balanced,HABFM,4356.482386,143.733761,55.302043,159.664447,-143.772938,15042.353205,371.974629,21167.813056,-440.810404,-850.567741,-641.150961,136.936520,False,False,False,False,False,True,False,2-circle,-1.000000,67.527872,100.000000,100.000000,0.000000,0.000000,-176.666498,92.160893,8.038985,2,1,1,0.0000,0.0000,0.0000,0.5000,"LagPursuit",-0.101916
10,A0100,adaptive_eagle_v9,HABFM,4581.298268,149.302437,51.925801,158.032008,-149.340866,15050.072535,370.769628,21135.910141,-159.514572,-1043.436824,-689.242602,137.346409,False,False,False,False,False,True,False,2-circle,-1.000000,71.190303,100.000000,100.000000,0.000000,0.000000,-178.023153,90.748988,7.233508,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.063039
10,B0100,L7_mid_level_balanced,HABFM,4581.298268,149.302437,51.925801,158.032008,-149.340866,15050.072535,370.769628,21135.910141,-159.514572,-1043.436824,-689.242602,137.346409,False,False,False,False,False,True,False,2-circle,-1.000000,71.190303,100.000000,100.000000,0.000000,0.000000,-178.023153,90.748988,7.233508,2,1,1,0.0000,0.0000,0.0000,0.5000,"LagPursuit",-0.099546
11,A0100,adaptive_eagle_v9,HABFM,4820.990115,155.176877,49.134501,155.261133,-155.241327,15057.337492,368.578003,21071.440784,-322.346787,-1289.660877,-729.048527,10.872509,False,False,False,False,False,True,False,2-circle,-1.000000,71.324963,100.000000,100.000000,0.000000,0.000000,168.716739,77.498114,7.159396,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.045551
11,B0100,L7_mid_level_balanced,HABFM,4820.990115,155.176877,49.134501,155.261133,-155.241327,15057.337492,368.578003,21071.440784,-322.346787,-1289.660877,-729.048527,10.872509,False,False,False,False,False,True,False,2-circle,-1.000000,71.324963,100.000000,100.000000,0.000000,0.000000,168.716739,77.498114,7.159396,2,7,1,0.0000,0.0000,0.0000,0.5000,"LagPursuit",-0.079857
12,A0100,adaptive_eagle_v9,HABFM,5072.220225,160.258561,47.026071,152.320894,-160.438514,15065.756121,366.742179,21020.098181,-256.713015,-1530.097546,-757.981157,5.673842,False,False,False,False,False,True,False,2-circle,-1.000000,65.670280,100.000000,100.000000,0.000000,0.000000,157.992610,66.883840,7.490361,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.032162
12,B0100,L7_mid_level_balanced,HABFM,5072.220225,160.258561,47.026071,152.320894,-160.438514,15065.756121,366.742179,21020.098181,-256.713015,-1530.097546,-757.981157,5.673842,False,False,False,False,False,True,False,2-circle,-1.000000,65.670280,100.000000,100.000000,0.000000,0.000000,157.992610,66.883840,7.490361,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.066415
