step,agent_id,tree_name,bfm_situation,distance_ft,ata_deg,aa_deg,hca_deg,relative_bearing_deg,ego_altitude_ft,ego_vc_kts,specific_energy_ft,ps_fts,energy_diff_ft,closure_rate_kts,turn_rate_degs,in_wez,enm_in_wez,in_39_line,overshoot_risk,energy_advantage,alt_advantage,spd_advantage,tc_type,side_flag,alt_gap_ft,ego_health,enm_health,ego_damage_dealt,enm_damage_dealt,tau_deg,roll_deg,pitch_deg,action_alt,action_hdg,action_vel,aileron,elevator,rudder,throttle,active_node,reward
0,A0100,adaptive_eagle_v9,HABFM,3297.631970,90.000000,90.000000,180.000000,-90.000000,15000.000480,386.782661,21622.867763,0.000000,0.000000,-0.000000,0.000000,False,False,False,False,True,True,True,2-circle,-1.000000,0.000000,100.000000,100.000000,0.000000,0.000000,90.000000,-0.000000,0.000000,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.238451
0,B0100,L7_extend_level_balanced,HABFM,3297.631970,90.000000,90.000000,180.000000,-90.000000,15000.000480,386.782661,21622.867763,0.000000,0.000000,-0.000000,0.000000,False,False,False,False,True,True,True,2-circle,-1.000000,0.000000,100.000000,100.000000,0.000000,0.000000,90.000000,-0.000000,0.000000,2,4,4,0.0000,0.0000,0.0000,0.5000,"Accelerate",-0.240243
1,A0100,adaptive_eagle_v9,HABFM,3313.147169,95.554163,84.489623,179.953248,-95.554410,14999.482269,388.247812,21672.620060,248.761488,53.852748,-91.598160,0.100482,False,False,False,False,True,True,True,2-circle,-1.000000,0.788737,100.000000,100.000000,0.000000,0.000000,92.519562,2.505858,-0.420415,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.192432
1,B0100,L7_extend_level_balanced,HABFM,3313.147169,95.554163,84.489623,179.953248,-95.554410,14999.482269,388.247812,21672.620060,248.761488,53.852748,-91.598160,0.100482,False,False,False,False,True,True,True,2-circle,-1.000000,0.788737,100.000000,100.000000,0.000000,0.000000,92.519562,2.505858,-0.420415,2,4,4,0.0000,0.0000,0.0000,0.5000,"Accelerate",-0.212744
2,A0100,adaptive_eagle_v9,HABFM,3358.781884,101.029671,79.572224,178.158397,-101.030766,14998.104236,389.159742,21702.627047,150.034931,148.263975,-176.884264,0.061423,False,False,False,False,True,True,True,2-circle,-1.000000,5.515521,100.000000,100.000000,0.000000,0.000000,91.631633,1.535785,-0.660242,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.137084
2,B0100,L7_extend_level_balanced,HABFM,3358.781884,101.029671,79.572224,178.158397,-101.030766,14998.104236,389.159742,21702.627047,150.034931,148.263975,-176.884264,0.061423,False,False,False,False,True,True,True,2-circle,-1.000000,5.515521,100.000000,100.000000,0.000000,0.000000,91.631633,1.535785,-0.660242,2,4,4,0.0000,0.0000,0.0000,0.5000,"Accelerate",-0.186091
3,A0100,adaptive_eagle_v9,HABFM,3431.207009,106.318256,75.799533,175.767118,-106.322146,14996.809693,390.303062,21740.785042,190.789976,280.085550,-250.060626,0.036836,False,False,False,False,True,True,True,2-circle,-1.000000,15.896800,100.000000,100.000000,0.000000,0.000000,91.200243,0.923716,-0.406156,2,0,3,0.0000,0.0000,0.0000,0.5000,"LeadPursuit",-0.093399
3,B0100,L7_extend_level_balanced,HABFM,3431.207009,106.318256,75.799533,175.767118,-106.322146,14996.809693,390.303062,21740.785042,190.789976,280.085550,-250.060626,0.036836,False,False,False,False,True,True,True,2-circle,-1.000000,15.896800,100.000000,100.000000,0.000000,0.000000,91.200243,0.923716,-0.406156,2,4,4,0.0000,0.0000,0.0000,0.5000,"Accelerate",-0.161961
4,A0100,adaptive_eagle_v9,HABFM,3526.351560,111.359736,73.116560,173.195721,-111.367032,14995.021767,391.333989,21774.670564,169.427612,434.364732,-310.962557,0.011565,False,False,False,False,True,True,True,2-circle,-1.000000,31.834157,100.000000,100.000000,0.000000,0.000000,90.264399,-0.290752,-0.219972,2,6,4,0.0000,0.0000,0.0000,0.5000,"ExtensionBreak",-0.083077
4,B0100,L7_extend_level_balanced,HABFM,3526.351560,111.359736,73.116560,173.195721,-111.367032,14995.021767,391.333989,21774.670564,169.427612,434.364732,-310.962557,0.011565,False,False,False,False,True,True,True,2-circle,-1.000000,31.834157,100.000000,100.000000,0.000000,0.000000,90.264399,-0.290752,-0.219972,2,4,4,0.0000,0.0000,0.0000,0.5000,"Accelerate",-0.141115
