step,agent_id,tree_name,bfm_situation,distance_ft,ata_deg,aa_deg,hca_deg,relative_bearing_deg,ego_altitude_ft,ego_vc_kts,specific_energy_ft,ps_fts,energy_diff_ft,closure_rate_kts,turn_rate_degs,in_wez,enm_in_wez,in_39_line,overshoot_risk,energy_advantage,alt_advantage,spd_advantage,tc_type,side_flag,alt_gap_ft,tau_deg,roll_deg,pitch_deg,ego_health,enm_health,ego_damage_dealt,enm_damage_dealt,action_alt,action_hdg,action_vel,aileron,elevator,rudder,throttle,active_node,reward
0,A0100,pursuit_chase_v1,HABFM,3297.631970,16200.000000,16200.000000,32400.000000,-16200.000000,15000.000480,386.782661,21622.867763,0.000000,-0.000000,-0.000000,0.000000,False,False,False,False,False,False,False,2-circle,-1.000000,-0.000000,-16200.000000,-0.000000,-0.000000,100.000000,100.000000,0.000000,0.000000,2,2,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.063125
0,B0100,defensive,HABFM,3297.631970,16200.000000,16200.000000,32400.000000,-16200.000000,15000.000480,386.782661,21622.867763,0.000000,-0.000000,-0.000000,0.000000,False,False,False,False,False,False,False,2-circle,-1.000000,-0.000000,-16200.000000,-0.000000,-0.000000,100.000000,100.000000,0.000000,0.000000,2,7,3,0.0000,0.0000,0.0000,0.5000,"DefensiveManeuver",-0.062257
1,A0100,pursuit_chase_v1,HABFM,3297.631970,16200.000000,16200.000000,32400.000000,-16200.000000,15000.000480,386.782661,21622.867763,0.000000,-0.000000,-0.000000,0.000000,False,False,False,False,False,False,False,2-circle,-1.000000,-0.000000,-16200.000000,-0.000000,-0.000000,100.000000,100.000000,0.000000,0.000000,2,2,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.060745
1,B0100,defensive,HABFM,3297.631970,16200.000000,16200.000000,32400.000000,-16200.000000,15000.000480,386.782661,21622.867763,0.000000,-0.000000,-0.000000,0.000000,False,False,False,False,False,False,False,2-circle,-1.000000,-0.000000,-16200.000000,-0.000000,-0.000000,100.000000,100.000000,0.000000,0.000000,2,7,3,0.0000,0.0000,0.0000,0.5000,"DefensiveManeuver",-0.061034
2,A0100,pursuit_chase_v1,HABFM,3301.517150,16699.193414,15700.806586,32384.328842,-16699.195341,14999.922257,387.517670,21647.984536,502.335461,17.683221,-46.040469,0.039817,False,False,False,False,True,True,True,2-circle,-1.000000,0.079707,-16021.738144,0.991729,0.040522,100.000000,100.000000,0.000000,0.000000,2,2,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.058495
2,B0100,defensive,HABFM,3301.517150,16699.193414,15700.806586,32384.328842,-16699.195341,14999.922257,387.517670,21647.984536,502.335461,17.683221,-46.040469,0.039817,False,False,False,False,True,True,True,2-circle,-1.000000,0.079707,-16021.738144,0.991729,0.040522,100.000000,100.000000,0.000000,0.000000,0,7,3,0.0000,0.0000,0.0000,0.5000,"DefensiveManeuver",-0.059491
3,A0100,pursuit_chase_v1,HABFM,3301.517150,16699.193414,15700.806586,32384.328842,-16699.195341,14999.922257,387.517670,21647.984536,502.335461,17.683221,-46.040469,0.039817,False,False,False,False,True,True,True,2-circle,-1.000000,0.079707,-16021.738144,0.991729,0.040522,100.000000,100.000000,0.000000,0.000000,2,2,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.056125
3,B0100,defensive,HABFM,3301.517150,16699.193414,15700.806586,32384.328842,-16699.195341,14999.922257,387.517670,21647.984536,502.335461,17.683221,-46.040469,0.039817,False,False,False,False,True,True,True,2-circle,-1.000000,0.079707,-16021.738144,0.991729,0.040522,100.000000,100.000000,0.000000,0.000000,0,7,3,0.0000,0.0000,0.0000,0.5000,"DefensiveManeuver",-0.057658
4,A0100,pursuit_chase_v1,HABFM,3313.153292,17200.621902,15199.378098,32389.678220,-17200.656410,14999.584485,388.667826,21687.168326,783.675809,74.415871,-91.693762,0.215368,False,False,False,False,True,True,True,2-circle,-1.000000,0.686522,-15236.599325,5.364154,0.674956,100.000000,100.000000,0.000000,0.000000,2,2,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.053339
4,B0100,defensive,HABFM,3313.153292,17200.621902,15199.378098,32389.678220,-17200.656410,14999.584485,388.667826,21687.168326,783.675809,74.415871,-91.693762,0.215368,False,False,False,False,True,True,True,2-circle,-1.000000,0.686522,-15236.599325,5.364154,0.674956,100.000000,100.000000,0.000000,0.000000,0,7,3,0.0000,0.0000,0.0000,0.5000,"DefensiveManeuver",-0.055670
