t,tac1,tac2,adv,ata,aa,relb,dist,clos,ediff,ego_alt,ego_vc,ego_bank,enm_bank,sp_psi,sp_h,sp_v,H1,H2
0.0000,LEVEL_FLIGHT,LEVEL_FLIGHT,0.0000,0.0001,179.9999,-0.0000,2939.6486,861.6706,0.0002,15000.0000,350.0000,-0.0000,-0.0000,360.0000,15000.0000,350.0000,99.9698,99.9698
0.0500,LEVEL_FLIGHT,LEVEL_FLIGHT,0.0000,0.0062,179.9938,-0.0000,2867.2270,861.6674,0.0001,14999.9985,349.9987,-0.0000,-0.0000,0.0000,14999.9985,350.0000,99.9035,99.9035
0.1000,LEVEL_FLIGHT,LEVEL_FLIGHT,0.0000,0.0164,179.9836,-0.0000,2794.8052,861.6782,0.0000,14999.9916,350.0033,0.0000,-0.0000,0.0000,14999.9916,350.0000,99.8010,99.8010
0.1500,LEVEL_FLIGHT,LEVEL_FLIGHT,0.0000,0.0304,179.9696,-0.0000,2722.3821,861.6962,0.0000,14999.9770,350.0110,0.0000,-0.0000,0.0000,14999.9770,350.0000,99.6626,99.6626
0.2000,LEVEL_FLIGHT,LEVEL_FLIGHT,0.0000,0.0484,179.9516,-0.0000,2649.9576,861.7100,0.0000,14999.9522,350.0171,0.0000,0.0000,0.0000,14999.9522,350.0000,99.4882,99.4882
0.2500,LEVEL_FLIGHT,LEVEL_FLIGHT,0.0000,0.0702,179.9298,-0.0000,2577.5321,861.7230,0.0000,14999.9148,350.0229,0.0000,0.0000,0.0000,14999.9148,350.0000,99.2782,99.2782
0.3000,GUN_TRACK,GUN_TRACK,0.0000,0.0949,179.9051,-0.0000,2505.1054,861.7372,0.0001,14999.8626,350.0294,0.0000,0.0000,359.9050,14999.8625,340.0294,99.0328,99.0328
0.3500,GUN_TRACK,GUN_TRACK,0.0002,0.1079,179.8636,0.0008,2432.6789,861.7009,-1.2842,14999.7979,349.9939,-0.0115,0.0116,0.1431,14999.7897,339.9939,98.7523,98.7516
0.4000,GUN_TRACK,GUN_TRACK,-0.0001,0.1558,179.8563,0.0012,2360.2598,861.5593,0.5392,14999.7163,349.9640,-0.0285,0.0251,0.0989,14999.6986,339.9640,98.4363,98.4359
0.4500,GUN_TRACK,GUN_TRACK,-0.0002,0.2024,179.8417,-0.0024,2287.8560,861.3563,1.9840,14999.6021,349.9027,0.0161,-0.0297,359.7379,14999.6036,339.9027,98.0849,98.0859
0.5000,GUN_TRACK,GUN_TRACK,0.0001,0.2033,179.7832,-0.0026,2215.4693,861.1489,-0.5984,14999.4696,349.7747,0.0495,-0.0740,359.8695,14999.4880,339.7747,97.6997,97.7002
0.5500,GUN_TRACK,GUN_TRACK,0.0004,0.2103,179.7264,0.0036,2143.0999,860.9506,-2.8428,14999.3398,349.6556,-0.0247,-0.0161,0.2983,14999.3316,339.6556,97.2810,97.2793
0.6000,GUN_TRACK,GUN_TRACK,0.0000,0.2697,179.7239,0.0049,2070.7469,860.7525,-0.2955,14999.1923,349.6139,-0.0887,0.0365,0.1730,14999.1520,339.6139,96.8271,96.8251
0.6500,GUN_TRACK,GUN_TRACK,-0.0003,0.3338,179.7272,-0.0026,1998.4108,860.5553,2.7320,14998.9993,349.5816,-0.0156,-0.0526,359.5623,14998.9804,339.5816,96.3377,96.3382
0.7000,GUN_TRACK,GUN_TRACK,-0.0001,0.3414,179.6739,-0.0046,1926.0910,860.3621,0.6893,14998.7795,349.4694,0.0541,-0.1313,359.7644,14998.7964,339.4694,95.8153,95.8166
0.7500,GUN_TRACK,GUN_TRACK,0.0004,0.3255,179.5989,0.0049,1853.7875,860.1691,-3.3818,14998.5710,349.3238,-0.0520,-0.0329,0.4535,14998.5636,339.3238,95.2614,95.2590
0.8000,GUN_TRACK,GUN_TRACK,0.0003,0.3694,179.5846,0.0074,1781.5000,859.9785,-2.0455,14998.3560,349.2662,-0.1516,0.0669,0.2533,14998.2998,339.2662,94.6732,94.6685
0.8500,GUN_TRACK,GUN_TRACK,-0.0003,0.4483,179.6113,-0.0038,1709.2287,859.7812,2.6818,14998.0940,349.2617,-0.0414,-0.0482,359.4122,14998.0480,339.2617,94.0488,94.0472
0.9000,GUN_TRACK,GUN_TRACK,-0.0003,0.4671,179.5801,-0.0075,1636.9742,859.5834,2.1151,14997.7979,349.1721,0.0744,-0.1688,359.6480,14997.7982,339.1721,93.3911,93.3923
0.9500,GUN_TRACK,GUN_TRACK,0.0004,0.4311,179.4952,0.0051,1564.7361,859.3863,-3.2818,14997.5149,349.0039,-0.0532,-0.0470,0.5767,14997.5042,339.0039,92.7036,92.7004
1.0000,GUN_TRACK,GUN_TRACK,0.0004,0.4528,179.4698,0.0098,1492.5147,859.1891,-3.4048,14997.2400,348.9202,-0.1933,0.0878,0.3349,14997.1718,338.9202,91.9832,91.9751
1.0500,GUN_TRACK,GUN_TRACK,-0.0003,0.5408,179.5153,-0.0039,1420.3100,858.9872,2.5738,14996.9233,348.9342,-0.0651,-0.0516,359.3059,14996.8529,338.9342,91.2253,91.2209
1.1000,GUN_TRACK,GUN_TRACK,-0.0004,0.5716,179.5057,-0.0094,1348.1224,858.7838,3.4659,14996.5645,348.8663,0.0851,-0.2156,359.5375,14996.5501,338.8663,90.4333,90.4343
1.1500,GUN_TRACK,GUN_TRACK,0.0004,0.5215,179.4152,0.0055,1275.9518,858.5828,-2.8087,14996.2179,348.6826,-0.0575,-0.0823,0.6690,14996.2100,338.6826,89.6133,89.6097
1.2000,GUN_TRACK,GUN_TRACK,0.0006,0.5226,179.3763,0.0119,1203.7980,858.3830,-4.4022,14995.8925,348.5743,-0.2324,0.0870,0.4219,14995.8232,338.5743,88.7619,88.7507
1.2500,GUN_TRACK,GUN_TRACK,-0.0002,0.6125,179.4286,-0.0038,1131.6610,858.1817,1.9873,14995.5332,348.5952,-0.0902,-0.0567,359.2443,14995.4457,338.5952,87.8722,87.8642
1.3000,GUN_TRACK,GUN_TRACK,-0.0005,0.6570,179.4382,-0.0113,1059.5411,857.9773,4.2950,14995.1243,348.5503,0.0976,-0.2451,359.4386,14995.0953,338.5503,86.9474,86.9471
1.3500,GUN_TRACK,GUN_TRACK,0.0002,0.6039,179.3513,0.0049,987.4384,857.7736,-1.9896,14994.7220,348.3655,-0.0434,-0.0947,0.7370,14994.7170,338.3655,85.9955,85.9915
1.4000,GUN_TRACK,GUN_TRACK,0.0006,0.5848,179.2992,0.0131,915.3528,857.5695,-4.9901,14994.3510,348.2329,-0.2421,0.1128,0.5043,14994.2863,338.2329,85.0141,84.9999
1.4500,GUN_TRACK,GUN_TRACK,-0.0001,0.6653,179.3493,-0.0037,843.2843,857.3639,0.9626,14993.9573,348.2448,-0.0916,-0.0279,359.2120,14993.8581,338.2448,83.9942,83.9814
1.5000,GUN_TRACK,GUN_TRACK,-0.0006,0.7214,179.3795,-0.0126,771.2335,857.1513,4.6344,14993.5105,348.2184,0.1242,-0.2429,359.3509,14993.4659,338.2184,82.9374,82.9340
1.5500,GUN_TRACK,GUN_TRACK,0.0001,0.6747,179.3078,0.0047,699.2005,856.9392,-0.7790,14993.0635,348.0444,-0.0168,-0.0932,0.7773,14993.0580,338.0444,81.8534,81.8483
1.6000,GUN_TRACK,GUN_TRACK,0.0007,0.6357,179.2430,0.0150,627.1853,856.7285,-5.1079,14992.6544,347.8874,-0.2429,0.1350,0.5770,14992.5963,337.8874,80.7418,80.7247
1.6500,GUN_TRACK,GUN_TRACK,0.0001,0.6984,179.2809,-0.0022,555.1878,856.5185,-0.2923,14992.2337,347.8790,-0.0981,-0.0050,359.2134,14992.1304,337.8790,79.5927,79.5734
1.7000,ONE_CIRCLE,ONE_CIRCLE,-0.0005,0.7675,179.3276,-0.0125,483.2080,856.3048,4.6128,14991.7595,347.8722,0.1363,-0.2439,0.0014,14991.7595,320.0000,79.5927,79.5734
1.7500,ONE_CIRCLE,ONE_CIRCLE,-0.0004,0.7750,179.3004,-0.0010,411.2467,856.0721,3.2748,14991.2717,347.7565,0.0889,-0.1716,0.0018,14991.2717,320.0000,79.5927,79.5734
1.8000,ONE_CIRCLE,ONE_CIRCLE,-0.0004,0.7934,179.2853,0.0059,339.3080,855.7611,2.8747,14990.7800,347.6229,0.0089,-0.0465,0.0024,14990.7800,320.0000,79.5927,79.5734
1.8500,ONE_CIRCLE,ONE_CIRCLE,-0.0006,0.8236,179.2900,0.0091,267.3988,855.3727,3.5085,14990.2790,347.4730,-0.0636,0.0749,0.0034,14990.2790,320.0000,79.5927,79.5734
1.9000,ONE_CIRCLE,ONE_CIRCLE,-0.0010,0.8700,179.3156,0.0101,195.5250,854.9208,4.7499,14989.7649,347.3065,-0.1074,0.1552,0.0050,14989.7649,320.0000,79.5927,79.5734
1.9500,ONE_CIRCLE,ONE_CIRCLE,-0.0018,0.9514,179.3788,0.0112,123.6914,854.4231,6.1393,14989.2363,347.1239,-0.1143,0.1780,0.0083,14989.2363,320.0000,79.5927,79.5734
